,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1415,1431,095380,동원엔터프라이즈,보통주,기타비상장,"1,000",0.00,20.00,"5,000",12
1416,1432,099620,코엔스,보통주,프리보드시장,0,0.00,100.00,500,12
1417,1433,123900,골든블루,보통주,프리보드시장,50,0.00,10.00,500,12
1418,1434,105915,케이티디에스1우,우선주,기타비상장,0,0.00,25.00,"5,000",12
1419,1435,139150,이지스자산운용,보통주,기타비상장,0,0.00,140.00,500,12
1420,1436,144920,케이씨씨홀딩스,보통주,기타비상장,0,0.00,20.00,500,12
1421,1437,217590,티엠씨,보통주,기타비상장,0,0.00,150.00,100,12
1422,1438,302920,더콘텐츠온,보통주,코넥스시장,0,0.00,0.00,500,12
1423,1439,30709K,케이씨씨오토그룹1우,우선주,기타비상장,0,0.00,20.00,500,12
1424,1440,346150,브이피,보통주,기타비상장,416,0.00,8.32,"5,000",12
1425,1426,073960,씨브이네트,보통주,프리보드시장,0,0.00,5.00,500,12
1426,1427,079180,내일신문,보통주,프리보드시장,0,0.00,25.00,"5,000",12
1427,1428,086520,에코프로,보통주,코스닥시장,300,0.00,60.00,500,12
1428,1429,086900,메디톡스,보통주,코스닥시장,0,0.00,0.00,500,12
